geoid,county,state_po,year,polling_places,period,population,prop_high_poverty,prop_hispanic_latino,prop_2more,prop_aian,prop_asian,prop_black,prop_nhpi,prop_other,prop_white
01019,Cherokee County,AL,2018,23,After,25855,42.29,1.58,1.04,0.48,0.13,4.98,0,0,91.78
01021,Chilton County,AL,2012,18,Before,43805,43.68,7.7,1.53,0.4,0.43,9.48,0,0.09,80.37
01021,Chilton County,AL,2018,16,After,43805,43.68,7.7,1.53,0.4,0.43,9.48,0,0.09,80.37
01023,Choctaw County,AL,2012,32,Before,13188,46.06,0.54,0.99,0.03,0.06,42.11,0,0.02,56.26
01023,Choctaw County,AL,2018,30,After,13188,46.06,0.54,0.99,0.03,0.06,42.11,0,0.02,56.26
01025,Clarke County,AL,2012,27,Before,24625,47.78,0.24,0.41,0.06,0.52,45.67,0.09,0,53.02
01025,Clarke County,AL,2018,29,After,24625,47.78,0.24,0.41,0.06,0.52,45.67,0.09,0,53.02
01027,Clay County,AL,2012,14,Before,13407,47.38,3.11,0.9,0.86,0.04,14.71,0,0.17,80.2
01027,Clay County,AL,2018,15,After,13407,47.38,3.11,0.9,0.86,0.04,14.71,0,0.17,80.2
01029,Cleburne County,AL,2012,14,Before,14939,43.26,2.38,1.24,0.29,0.54,2.84,0,0.05,92.66
01029,Cleburne County,AL,2018,14,After,14939,43.26,2.38,1.24,0.29,0.54,2.84,0,0.05,92.66
01031,Coffee County,AL,2012,29,Before,51073,35.83,6.66,2.86,1.03,1.29,17.14,0,0.01,71
01031,Coffee County,AL,2018,29,After,51073,35.83,6.66,2.86,1.03,1.29,17.14,0,0.01,71
01033,Colbert County,AL,2012,36,Before,54435,36.07,2.41,1.6,0.74,0.45,15.94,0.03,0.06,78.77
01033,Colbert County,AL,2018,35,After,54435,36.07,2.41,1.6,0.74,0.45,15.94,0.03,0.06,78.77
01035,Conecuh County,AL,2012,26,Before,12649,57.4,1.83,1.38,0.17,0.03,46.29,0,0.02,50.3
01035,Conecuh County,AL,2018,27,After,12649,57.4,1.83,1.38,0.17,0.03,46.29,0,0.02,50.3
01037,Coosa County,AL,2012,12,Before,10955,46.02,0.15,1.29,0.07,0,33.23,0,0,65.27
01037,Coosa County,AL,2018,12,After,10955,46.02,0.15,1.29,0.07,0,33.23,0,0,65.27
01039,Covington County,AL,2012,25,Before,37519,41.6,1.56,1.19,0.33,0.41,13,0.02,0,83.48
01039,Covington County,AL,2018,25,After,37519,41.6,1.56,1.19,0.33,0.41,13,0.02,0,83.48
01041,Crenshaw County,AL,2012,18,Before,13866,43.65,1.82,1.64,0.78,1.4,23.14,0,0.01,71.2
01041,Crenshaw County,AL,2018,18,After,13866,43.65,1.82,1.64,0.78,1.4,23.14,0,0.01,71.2
01043,Cullman County,AL,2012,49,Before,81703,40.97,4.24,1.18,0.43,0.65,1.1,0,0.08,92.33
01043,Cullman County,AL,2018,49,After,81703,40.97,4.24,1.18,0.43,0.65,1.1,0,0.08,92.33
01045,Dale County,AL,2012,19,Before,49393,41.67,6.06,3.48,0.49,0.91,19.2,0.02,0.38,69.46
01045,Dale County,AL,2018,19,After,49393,41.67,6.06,3.48,0.49,0.91,19.2,0.02,0.38,69.46
01047,Dallas County,AL,2012,29,Before,40755,58.68,1,0.57,0.04,0.45,70.18,0.01,0,27.74
01047,Dallas County,AL,2018,31,After,40755,58.68,1,0.57,0.04,0.45,70.18,0.01,0,27.74
01049,DeKalb County,AL,2012,45,Before,71194,49.15,14.3,1.86,1.23,0.29,1.42,0.12,0.01,80.78
01049,DeKalb County,AL,2018,44,After,71194,49.15,14.3,1.86,1.23,0.29,1.42,0.12,0.01,80.78
01051,Elmore County,AL,2012,28,Before,80989,30.1,2.86,1.4,0.29,0.57,21.21,0,0.25,73.42
01051,Elmore County,AL,2018,29,After,80989,30.1,2.86,1.4,0.29,0.57,21.21,0,0.25,73.42
01053,Escambia County,AL,2012,29,Before,37621,51.35,2.15,1.14,3.64,0.4,32.18,0.14,0.12,60.23
01053,Escambia County,AL,2018,29,After,37621,51.35,2.15,1.14,3.64,0.4,32.18,0.14,0.12,60.23
01055,Etowah County,AL,2012,41,Before,103132,41.04,3.68,1.33,0.49,0.68,15.37,0.07,0.08,78.3
01055,Etowah County,AL,2018,32,After,103132,41.04,3.68,1.33,0.49,0.68,15.37,0.07,0.08,78.3
01057,Fayette County,AL,2012,27,Before,16657,45.19,1.66,1.33,0,0.47,11.51,0,0,85.03
01057,Fayette County,AL,2018,27,After,16657,45.19,1.66,1.33,0,0.47,11.51,0,0,85.03
01059,Franklin County,AL,2012,24,Before,31507,48.71,16.33,0.64,0.17,0.37,4.67,0.1,0.04,77.68
01059,Franklin County,AL,2018,23,After,31507,48.71,16.33,0.64,0.17,0.37,4.67,0.1,0.04,77.68
01061,Geneva County,AL,2012,25,Before,26572,43.64,3.78,2.04,0.61,0.4,9.18,0,0,83.99
01061,Geneva County,AL,2018,24,After,26572,43.64,3.78,2.04,0.61,0.4,9.18,0,0,83.99
01063,Greene County,AL,2012,14,Before,8533,64.07,1.18,0.8,0.63,0,80.29,0,0,17.1
01063,Greene County,AL,2018,14,After,8533,64.07,1.18,0.8,0.63,0,80.29,0,0,17.1
01065,Hale County,AL,2014,14,Before,14995,50.15,1.31,0.05,0.17,0.17,58.65,0,0.14,39.51
01065,Hale County,AL,2018,14,After,14995,50.15,1.31,0.05,0.17,0.17,58.65,0,0.14,39.51
01067,Henry County,AL,2012,13,Before,17110,40.99,2.54,0.88,0.03,0,27.83,0,0,68.71
01067,Henry County,AL,2018,13,After,17110,40.99,2.54,0.88,0.03,0,27.83,0,0,68.71
01069,Houston County,AL,2012,26,Before,104108,41.02,3.23,1.82,0.31,0.84,26.49,0.02,0.09,67.2
01069,Houston County,AL,2018,27,After,104108,41.02,3.23,1.82,0.31,0.84,26.49,0.02,0.09,67.2
01071,Jackson County,AL,2012,37,Before,52326,44.38,2.85,2.79,0.99,0.45,3.25,0.1,0.25,89.32
01071,Jackson County,AL,2018,37,After,52326,44.38,2.85,2.79,0.99,0.45,3.25,0.1,0.25,89.32
01073,Jefferson County,AL,2012,177,Before,659460,36.41,3.74,1.45,0.19,1.53,42.45,0.03,0.23,50.38
01073,Jefferson County,AL,2018,172,After,659460,36.41,3.74,1.45,0.19,1.53,42.45,0.03,0.23,50.38
01075,Lamar County,AL,2012,22,Before,14021,49.84,1.51,0.59,0.32,0,10.84,0,0.71,86.02
01075,Lamar County,AL,2018,22,After,14021,49.84,1.51,0.59,0.32,0,10.84,0,0.71,86.02
01077,Lauderdale County,AL,2012,31,Before,92590,38.41,2.47,1.53,0.37,0.68,9.83,0.02,0.2,84.9
01077,Lauderdale County,AL,2018,31,After,92590,38.41,2.47,1.53,0.37,0.68,9.83,0.02,0.2,84.9
01079,Lawrence County,AL,2012,29,Before,33288,38.13,2.11,4.64,5.2,0.05,11.42,0,0,76.58
01079,Lawrence County,AL,2018,29,After,33288,38.13,2.11,4.64,5.2,0.05,11.42,0,0,76.58
01081,Lee County,AL,2012,23,Before,156597,40.12,3.71,1.62,0.09,3.75,22.94,0,0.28,67.6
01081,Lee County,AL,2018,24,After,156597,40.12,3.71,1.62,0.09,3.75,22.94,0,0.28,67.6
01083,Limestone County,AL,2012,25,Before,91695,32.68,5.81,1.95,0.72,1.25,13.07,0.01,0,77.19
01083,Limestone County,AL,2018,25,After,91695,32.68,5.81,1.95,0.72,1.25,13.07,0.01,0,77.19
01085,Lowndes County,AL,2012,12,Before,10362,53.4,0.69,0.57,0.09,0,74.39,0,0,24.27
01085,Lowndes County,AL,2018,12,After,10362,53.4,0.69,0.57,0.09,0,74.39,0,0,24.27
01087,Macon County,AL,2012,14,Before,19358,52.73,1.63,0.68,0.22,0.2,81.48,0,0.35,15.46
01087,Macon County,AL,2018,14,After,19358,52.73,1.63,0.68,0.22,0.2,81.48,0,0.35,15.46
01089,Madison County,AL,2012,75,Before,353213,28.7,4.74,2.67,0.57,2.54,23.97,0.09,0.27,65.15
01089,Madison County,AL,2018,71,After,353213,28.7,4.74,2.67,0.57,2.54,23.97,0.09,0.27,65.15
01091,Marengo County,AL,2012,22,Before,19743,50.44,0.45,0.19,0.06,0,54.14,0,0.05,45.12
01091,Marengo County,AL,2018,19,After,19743,50.44,0.45,0.19,0.06,0,54.14,0,0.05,45.12
01093,Marion County,AL,2012,20,Before,30058,45.03,2.47,1.64,0.43,0.32,3.2,0,0,91.95
01093,Marion County,AL,2018,19,After,30058,45.03,2.47,1.64,0.43,0.32,3.2,0,0,91.95
01095,Marshall County,AL,2012,38,Before,94738,45.64,13.3,1.6,0.46,0.56,2.2,0.05,0.05,81.77
01095,Marshall County,AL,2018,28,After,94738,45.64,13.3,1.6,0.46,0.56,2.2,0.05,0.05,81.77
01097,Mobile County,AL,2012,98,Before,414328,40.08,2.76,1.73,0.6,1.95,35.23,0.01,0.19,57.54
01097,Mobile County,AL,2018,88,After,414328,40.08,2.76,1.73,0.6,1.95,35.23,0.01,0.19,57.54
01099,Monroe County,AL,2012,31,Before,21745,55.95,1.32,1.62,1.26,0.53,40.81,0,0,54.46
01099,Monroe County,AL,2018,30,After,21745,55.95,1.32,1.62,1.26,0.53,40.81,0,0,54.46
01101,Montgomery County,AL,2012,46,Before,227120,41.16,3.36,1.67,0.13,2.43,57.13,0.02,0.08,35.19
01101,Montgomery County,AL,2018,50,After,227120,41.16,3.36,1.67,0.13,2.43,57.13,0.02,0.08,35.19
01103,Morgan County,AL,2012,44,Before,119157,36.84,7.96,2.02,0.54,0.65,12.33,0.05,0.07,76.37
01103,Morgan County,AL,2018,39,After,119157,36.84,7.96,2.02,0.54,0.65,12.33,0.05,0.07,76.37
01105,Perry County,AL,2012,12,Before,9680,66.77,0.69,0,0.07,0.24,69.58,0,0.05,29.37
01105,Perry County,AL,2018,12,After,9680,66.77,0.69,0,0.07,0.24,69.58,0,0.05,29.37
01107,Pickens County,AL,2012,19,Before,20170,47.88,4.1,1.06,0.11,0.06,40.47,0.05,0.04,54.11
01107,Pickens County,AL,2018,19,After,20170,47.88,4.1,1.06,0.11,0.06,40.47,0.05,0.04,54.11
01109,Pike County,AL,2012,28,Before,33287,47.74,0.85,1.96,0.64,2.2,37.94,0.01,0.05,56.36
01109,Pike County,AL,2018,29,After,33287,47.74,0.85,1.96,0.64,2.2,37.94,0.01,0.05,56.36
01111,Randolph County,AL,2012,23,Before,22530,43.16,2.95,1.75,0.21,0.16,19.45,0.16,0.06,75.26
01111,Randolph County,AL,2018,22,After,22530,43.16,2.95,1.75,0.21,0.16,19.45,0.16,0.06,75.26
01113,Russell County,AL,2012,17,Before,58480,44.46,5.22,3.28,0.36,0.66,42.35,0.24,0.1,47.8
01113,Russell County,AL,2018,17,After,58480,44.46,5.22,3.28,0.36,0.66,42.35,0.24,0.1,47.8
01115,St. Clair County,AL,2012,31,Before,86937,33.17,2.3,1.11,0.25,0.79,9.3,0.01,0,86.24
01115,St. Clair County,AL,2018,30,After,86937,33.17,2.3,1.11,0.25,0.79,9.3,0.01,0,86.24
01117,Shelby County,AL,2012,47,Before,208721,21,5.77,1.67,0.22,1.9,11.71,0.03,0.18,78.51
01117,Shelby County,AL,2018,44,After,208721,21,5.77,1.67,0.22,1.9,11.71,0.03,0.18,78.51
01119,Sumter County,AL,2012,13,Before,13084,64.48,0.26,0.47,0.52,3,70.74,0,0.42,24.59
01119,Sumter County,AL,2018,13,After,13084,64.48,0.26,0.47,0.52,3,70.74,0,0.42,24.59
01121,Talladega County,AL,2012,26,Before,80888,45.31,2.21,1.57,0.29,0.55,32.15,0.03,0.08,63.12
01121,Talladega County,AL,2018,26,After,80888,45.31,2.21,1.57,0.29,0.55,32.15,0.03,0.08,63.12
01123,Tallapoosa County,AL,2012,25,Before,40756,42.67,2.38,0.73,0.43,0.39,27.17,0,0,68.9
01123,Tallapoosa County,AL,2018,26,After,40756,42.67,2.38,0.73,0.43,0.39,27.17,0,0,68.9
01125,Tuscaloosa County,AL,2012,54,Before,204424,36.8,3.49,1.08,0.12,1.53,31.23,0.03,0.11,62.4
01125,Tuscaloosa County,AL,2018,54,After,204424,36.8,3.49,1.08,0.12,1.53,31.23,0.03,0.11,62.4
01127,Walker County,AL,2012,45,Before,64927,45.77,2.36,1.7,0.07,0.47,6.01,0,0,89.39
01127,Walker County,AL,2018,45,After,64927,45.77,2.36,1.7,0.07,0.47,6.01,0,0,89.39
01129,Washington County,AL,2012,17,Before,16746,43.79,0.48,1.3,7.53,0.95,24.6,0,0,65.13
01129,Washington County,AL,2018,20,After,16746,43.79,0.48,1.3,7.53,0.95,24.6,0,0,65.13
01131,Wilcox County,AL,2014,26,Before,10919,55.68,0.48,0.46,0.05,0,72.11,0,0,26.9
01131,Wilcox County,AL,2018,22,After,10919,55.68,0.48,0.46,0.05,0,72.11,0,0,26.9
01133,Winston County,AL,2012,18,Before,23968,49.32,2.99,1.79,0.27,0.29,0.52,0.03,0,94.11
01133,Winston County,AL,2018,18,After,23968,49.32,2.99,1.79,0.27,0.29,0.52,0.03,0,94.11
04001,Apache County,AZ,2012,42,Before,71602,61.64,6.11,1.68,72.79,0.35,0.5,0.08,0.05,18.45
04001,Apache County,AZ,2018,43,After,71602,61.64,6.11,1.68,72.79,0.35,0.5,0.08,0.05,18.45
04003,Cochise County,AZ,2012,49,Before,126516,40.04,35,2.5,0.89,1.79,3.59,0.37,0.2,55.65
04003,Cochise County,AZ,2018,17,After,126516,40.04,35,2.5,0.89,1.79,3.59,0.37,0.2,55.65
04005,Coconino County,AZ,2012,64,Before,138639,40.57,13.9,2.64,25.8,1.8,1.25,0.14,0.19,54.29
04005,Coconino County,AZ,2018,55,After,138639,40.57,13.9,2.64,25.8,1.8,1.25,0.14,0.19,54.29
04007,Gila County,AZ,2012,33,Before,53145,45.53,18.65,1.66,15.62,0.85,0.45,0,0,62.77
04007,Gila County,AZ,2018,17,After,53145,45.53,18.65,1.66,15.62,0.85,0.45,0,0,62.77
04009,Graham County,AZ,2012,18,Before,37700,43.13,32.53,1,12.56,0.74,1.84,0.16,0,51.17
04009,Graham County,AZ,2018,9,After,37700,43.13,32.53,1,12.56,0.74,1.84,0.16,0,51.17
04011,Greenlee County,AZ,2012,8,Before,9368,36.15,46.41,0.12,3.59,0.35,1.95,0,0,47.58
04011,Greenlee County,AZ,2018,5,After,9368,36.15,46.41,0.12,3.59,0.35,1.95,0,0,47.58
04012,La Paz County,AZ,2012,9,Before,20477,51.07,26.29,2.1,11.09,0.75,0.82,0.22,0,58.73
04012,La Paz County,AZ,2018,8,After,20477,51.07,26.29,2.1,11.09,0.75,0.82,0.22,0,58.73
04013,Maricopa County,AZ,2012,671,Before,4155501,34.16,30.6,2.27,1.54,3.86,5.08,0.19,0.14,56.31
04013,Maricopa County,AZ,2018,500,After,4155501,34.16,30.6,2.27,1.54,3.86,5.08,0.19,0.14,56.31
04015,Mohave County,AZ,2012,70,Before,204691,43.62,15.92,1.63,2.1,1.16,0.98,0.13,0.07,78.02
04015,Mohave County,AZ,2018,36,After,204691,43.62,15.92,1.63,2.1,1.16,0.98,0.13,0.07,78.02
04017,Navajo County,AZ,2012,52,Before,107902,53.11,11.17,2.4,43.23,0.61,0.72,0.11,0.11,41.64
04017,Navajo County,AZ,2018,50,After,107902,53.11,11.17,2.4,43.23,0.61,0.72,0.11,0.11,41.64
04019,Pima County,AZ,2012,280,Before,1007257,39.27,36.6,2.28,2.42,2.65,3.18,0.14,0.13,52.62
04019,Pima County,AZ,2018,249,After,1007257,39.27,36.6,2.28,2.42,2.65,3.18,0.14,0.13,52.62
04021,Pinal County,AZ,2012,98,Before,405537,37.56,29.61,2.33,4.29,1.63,4.25,0.34,0.1,57.44
04021,Pinal County,AZ,2018,100,After,405537,37.56,29.61,2.33,4.29,1.63,4.25,0.34,0.1,57.44
04023,Santa Cruz County,AZ,2012,17,Before,46358,53.97,83.38,0.29,0.2,0.76,0.29,0,0.03,15.04
04023,Santa Cruz County,AZ,2018,12,After,46358,53.97,83.38,0.29,0.2,0.76,0.29,0,0.03,15.04
04025,Yavapai County,AZ,2012,30,Before,220972,35.29,14.26,1.89,1.47,0.89,0.52,0.02,0.06,80.9
04025,Yavapai County,AZ,2018,25,After,220972,35.29,14.26,1.89,1.47,0.89,0.52,0.02,0.06,80.9
04027,Yuma County,AZ,2012,11,Before,204281,48.44,62.89,1.33,0.92,1.15,1.79,0.05,0.05,31.82
04027,Yuma County,AZ,2018,9,After,204281,48.44,62.89,1.33,0.92,1.15,1.79,0.05,0.05,31.82
06031,Kings County,CA,2012,35,Before,150183,46.9,53.74,2.41,0.8,3.64,5.94,0.22,0.14,33.11
06031,Kings County,CA,2018,22,After,150183,46.9,53.74,2.41,0.8,3.64,5.94,0.22,0.14,33.11
06053,Monterey County,CA,2012,83,Before,433168,39.38,57.93,2.59,0.25,5.59,2.45,0.45,0.13,30.61
06053,Monterey County,CA,2018,83,After,433168,39.38,57.93,2.59,0.25,5.59,2.45,0.45,0.13,30.61
06115,Yuba County,CA,2012,27,Before,74644,40,27.44,5.27,0.97,6.3,3.22,0.34,0.17,56.29
06115,Yuba County,CA,2018,20,After,74644,40,27.44,5.27,0.97,6.3,3.22,0.34,0.17,56.29
12021,Collier County,FL,2012,60,Before,356774,31.19,27.17,0.76,0.19,1.25,6.84,0,0.16,63.63
12021,Collier County,FL,2018,59,After,356774,31.19,27.17,0.76,0.19,1.25,6.84,0,0.16,63.63
12049,Hardee County,FL,2012,12,Before,27326,55.27,43.19,0.68,0.15,0.6,7.93,0.03,0.05,47.37
12049,Hardee County,FL,2016,13,After,27326,55.27,43.19,0.68,0.15,0.6,7.93,0.03,0.05,47.37
12051,Hendry County,FL,2012,10,Before,39064,53.27,51.86,0.97,1.52,0.88,10.95,0.12,0.18,33.53
12051,Hendry County,FL,2018,10,After,39064,53.27,51.86,0.97,1.52,0.88,10.95,0.12,0.18,33.53
12057,Hillsborough County,FL,2012,276,Before,1351087,35.82,27.45,2.23,0.18,3.91,15.52,0.05,0.37,50.28
12057,Hillsborough County,FL,2018,257,After,1351087,35.82,27.45,2.23,0.18,3.91,15.52,0.05,0.37,50.28
12087,Monroe County,FL,2012,29,Before,76745,29.9,23.48,1.09,0.13,1.21,6.71,0,0.09,67.29
12087,Monroe County,FL,2018,27,After,76745,29.9,23.48,1.09,0.13,1.21,6.71,0,0.09,67.29
13001,Appling County,GA,2012,16,Before,18471,49.98,9.73,1.35,0.56,0.84,17.86,0,0,69.65
13001,Appling County,GA,2018,9,After,18471,49.98,9.73,1.35,0.56,0.84,17.86,0,0,69.65
13003,Atkinson County,GA,2012,4,Before,8313,60.93,24.64,0.08,0.71,0,17.83,0,0.11,56.63
13003,Atkinson County,GA,2018,4,After,8313,60.93,24.64,0.08,0.71,0,17.83,0,0.11,56.63
13005,Bacon County,GA,2012,5,Before,11279,46.99,8.48,2.17,0,0.93,14.56,0.21,0,73.64
13005,Bacon County,GA,2018,1,After,11279,46.99,8.48,2.17,0,0.93,14.56,0.21,0,73.64
13007,Baker County,GA,2012,5,Before,3251,45.99,5.35,0,0.18,0.55,41.28,0.49,0,52.14
13007,Baker County,GA,2018,5,After,3251,45.99,5.35,0,0.18,0.55,41.28,0.49,0,52.14
13009,Baldwin County,GA,2012,14,Before,45527,52.31,2.19,1.59,0.26,1.51,41.42,0.15,0.02,52.86
13009,Baldwin County,GA,2018,14,After,45527,52.31,2.19,1.59,0.26,1.51,41.42,0.15,0.02,52.86
13011,Banks County,GA,2012,13,Before,18363,48.35,6.43,1.12,0.23,1.24,2.52,0,0.11,88.36
13011,Banks County,GA,2018,13,After,18363,48.35,6.43,1.12,0.23,1.24,2.52,0,0.11,88.36
13013,Barrow County,GA,2012,16,Before,75099,34.9,10.02,2.07,0.07,3.57,11.08,0,0.21,72.98
13013,Barrow County,GA,2018,16,After,75099,34.9,10.02,2.07,0.07,3.57,11.08,0,0.21,72.98
13015,Bartow County,GA,2012,17,Before,102623,36.9,8.16,1.65,0.2,0.94,10.5,0,0.3,78.25
13015,Bartow County,GA,2018,16,After,102623,36.9,8.16,1.65,0.2,0.94,10.5,0,0.3,78.25
13017,Ben Hill County,GA,2012,5,Before,17272,55.47,6.04,0.49,0,0.16,36.16,0.05,0.59,56.51
13017,Ben Hill County,GA,2018,2,After,17272,55.47,6.04,0.49,0,0.16,36.16,0.05,0.59,56.51
13019,Berrien County,GA,2012,7,Before,19014,50.72,4.88,0.76,0.24,0.97,10.82,0,0.02,82.32
13019,Berrien County,GA,2018,5,After,19014,50.72,4.88,0.76,0.24,0.97,10.82,0,0.02,82.32
13021,Bibb County,GA,2012,40,Before,153923,48.31,3.16,1.4,0.17,1.9,53.95,0.02,0.07,39.33
13021,Bibb County,GA,2018,31,After,153923,48.31,3.16,1.4,0.17,1.9,53.95,0.02,0.07,39.33
13023,Bleckley County,GA,2012,1,Before,12779,48.44,2.7,0.46,0.08,0.17,27.74,0,0,68.85
13023,Bleckley County,GA,2018,1,After,12779,48.44,2.7,0.46,0.08,0.17,27.74,0,0,68.85
13025,Brantley County,GA,2012,9,Before,18411,55.09,2.11,1.16,0.08,0.69,3.11,0.14,0.07,92.65
13025,Brantley County,GA,2018,3,After,18411,55.09,2.11,1.16,0.08,0.69,3.11,0.14,0.07,92.65
13027,Brooks County,GA,2012,9,Before,15629,47.73,5.6,2.82,0.04,0.83,33.6,0.03,0.31,56.77
13027,Brooks County,GA,2018,7,After,15629,47.73,5.6,2.82,0.04,0.83,33.6,0.03,0.31,56.77
13029,Bryan County,GA,2012,10,Before,34883,28.29,6.64,2.41,0.46,1.55,14.61,0,0.06,74.27
13029,Bryan County,GA,2018,10,After,34883,28.29,6.64,2.41,0.46,1.55,14.61,0,0.06,74.27
13031,Bulloch County,GA,2012,16,Before,73742,49.82,3.71,1.94,0.24,1.46,28.54,0.02,0.11,63.98
13031,Bulloch County,GA,2018,16,After,73742,49.82,3.71,1.94,0.24,1.46,28.54,0.02,0.11,63.98
13033,Burke County,GA,2012,16,Before,22645,52.41,3.09,0.51,0.03,0.26,49.08,0,0,47.04
13033,Burke County,GA,2018,16,After,22645,52.41,3.09,0.51,0.03,0.26,49.08,0,0,47.04
13035,Butts County,GA,2012,5,Before,23556,43.62,3.08,0.93,0.07,0.59,28.21,0,0.54,66.59
13035,Butts County,GA,2018,1,After,23556,43.62,3.08,0.93,0.07,0.59,28.21,0,0.54,66.59
13037,Calhoun County,GA,2012,5,Before,6503,60.32,4.8,1.35,0,0.54,60.48,0,0.34,32.49
13037,Calhoun County,GA,2018,5,After,6503,60.32,4.8,1.35,0,0.54,60.48,0,0.34,32.49
13039,Camden County,GA,2012,14,Before,52252,34.75,6.37,2.73,0.63,1.4,18.5,0.09,0.18,70.11
13039,Camden County,GA,2018,14,After,52252,34.75,6.37,2.73,0.63,1.4,18.5,0.09,0.18,70.11
13043,Candler County,GA,2012,2,Before,10894,57.1,11.48,2.27,0.72,0.8,23.51,0,0,61.23
13043,Candler County,GA,2018,2,After,10894,57.1,11.48,2.27,0.72,0.8,23.51,0,0,61.23
13045,Carroll County,GA,2012,30,Before,114898,40.75,6.68,1.78,0.26,0.78,18.66,0.09,0.63,71.11
13045,Carroll County,GA,2018,28,After,114898,40.75,6.68,1.78,0.26,0.78,18.66,0.09,0.63,71.11
13047,Catoosa County,GA,2012,12,Before,65870,28.94,2.86,1.95,0.2,1.29,2.26,0.03,0,91.4
13047,Catoosa County,GA,2018,11,After,65870,28.94,2.86,1.95,0.2,1.29,2.26,0.03,0,91.4
13049,Charlton County,GA,2012,9,Before,12963,44.75,8.36,2.05,1.45,0.79,25.3,0,0,62.04
13049,Charlton County,GA,2018,8,After,12963,44.75,8.36,2.05,1.45,0.79,25.3,0,0,62.04
13051,Chatham County,GA,2012,89,Before,285506,35.89,6.25,2.25,0.23,2.51,39.39,0.12,0.16,49.08
13051,Chatham County,GA,2018,90,After,285506,35.89,6.25,2.25,0.23,2.51,39.39,0.12,0.16,49.08
13053,Chattahoochee County,GA,2012,1,Before,11096,45.05,15.31,3.84,0.81,2.53,17.9,0.23,0.28,59.1
13053,Chattahoochee County,GA,2018,1,After,11096,45.05,15.31,3.84,0.81,2.53,17.9,0.23,0.28,59.1
13055,Chattooga County,GA,2012,11,Before,24880,51.31,4.74,1.3,0.07,0.44,10.25,0,0.1,83.1
13055,Chattooga County,GA,2018,13,After,24880,51.31,4.74,1.3,0.07,0.44,10.25,0,0.1,83.1
13057,Cherokee County,GA,2012,42,Before,235896,22.69,10.03,1.77,0.07,1.87,6.15,0,0.25,79.86
13057,Cherokee County,GA,2018,42,After,235896,22.69,10.03,1.77,0.07,1.87,6.15,0,0.25,79.86
13059,Clarke County,GA,2012,24,Before,123554,53.29,10.63,2.07,0.1,4.25,27.25,0,0.12,55.57
13059,Clarke County,GA,2018,24,After,123554,53.29,10.63,2.07,0.1,4.25,27.25,0,0.12,55.57
13061,Clay County,GA,2012,5,Before,3024,66.34,4.73,0.23,0,0,64.29,0,0.5,30.26
13061,Clay County,GA,2018,5,After,3024,66.34,4.73,0.23,0,0,64.29,0,0.5,30.26
13063,Clayton County,GA,2012,58,Before,274150,47.9,13.19,1.94,0.24,5.28,67.72,0.01,0.39,11.25
13063,Clayton County,GA,2018,58,After,274150,47.9,13.19,1.94,0.24,5.28,67.72,0.01,0.39,11.25
13065,Clinch County,GA,2012,5,Before,6788,58.85,4.91,1.19,0.27,0.57,27.36,0,0,65.7
